datetime,close,holding,cash_flows,trades,stoploss,trades_pl,cum_cash_flow,cash,strategy,strategy_pl_cum
2017-12-31 18:55:00,13737.1,0,0.0,0,0,0.0,0.0,13815.41,13815.41,0.0
2017-12-31 19:00:00,13766.0,0,0.0,0,0,0.0,0.0,13815.41,13815.41,0.0
2017-12-31 19:05:00,13799.99,0,0.0,0,0,0.0,0.0,13815.41,13815.41,0.0
2017-12-31 19:10:00,13820.0,0,0.0,0,0,0.0,0.0,13815.41,13815.41,0.0
2017-12-31 19:15:00,13860.0,0,0.0,0,0,0.0,0.0,13815.41,13815.41,0.0
2017-12-31 19:20:00,13815.41,1,-13815.41,1,0,0.0,-13815.41,0.0,13815.41,0.0
2017-12-31 19:25:00,13773.99,1,0.0,0,0,0.0,-13815.41,0.0,13773.99,-0.0029981013954707425
2017-12-31 19:30:00,13779.98,1,0.0,0,0,0.0,-13815.41,0.0,13779.98,-0.002564527581881415
2017-12-31 19:35:00,13760.0,0,13760.0,-1,0,-0.004010738733052466,-55.409999999999854,13760.0,13760.0,-0.004010738733052466
2017-12-31 19:40:00,13785.05,0,0.0,0,0,0.0,-55.409999999999854,13760.0,13760.0,-0.004010738733052466
2017-12-31 19:45:00,13745.14,0,0.0,0,0,0.0,-55.409999999999854,13760.0,13760.0,-0.004010738733052466
2017-12-31 19:50:00,13758.88,0,0.0,0,0,0.0,-55.409999999999854,13760.0,13760.0,-0.004010738733052466
2017-12-31 19:55:00,13780.16,0,0.0,0,0,0.0,-55.409999999999854,13760.0,13760.0,-0.004010738733052466
2017-12-31 20:00:00,13859.45,0,0.0,0,0,0.0,-55.409999999999854,13760.0,13760.0,-0.004010738733052466
2017-12-31 20:05:00,13899.0,1,-13899.0,1,0,0.0,-13954.41,-139.0,13760.0,-0.004010738733052466
2017-12-31 20:10:00,13881.26,1,0.0,0,0,0.0,-13954.41,-139.0,13742.26,-0.005294812097505597
2017-12-31 20:15:00,13850.48,1,0.0,0,0,0.0,-13954.41,-139.0,13711.48,-0.007522759006066471
2017-12-31 20:20:00,13900.7,1,0.0,0,0,0.0,-13954.41,-139.0,13761.7,-0.003887687734204004
2017-12-31 20:25:00,13915.75,1,0.0,0,0,0.0,-13954.41,-139.0,13776.75,-0.0027983244796933038
2017-12-31 20:30:00,13907.62,1,0.0,0,0,0.0,-13954.41,-139.0,13768.62,-0.003386797785950524
2017-12-31 20:35:00,13969.45,1,0.0,0,0,0.0,-13954.41,-139.0,13830.45,0.0010886394251057308
2017-12-31 20:40:00,14010.0,1,0.0,0,0,0.0,-13954.41,-139.0,13871.0,0.004023767662342248
2017-12-31 20:45:00,14019.99,1,0.0,0,0,0.0,-13954.41,-139.0,13880.99,0.004746873237927884
2017-12-31 20:50:00,13978.44,1,0.0,0,0,0.0,-13954.41,-139.0,13839.44,0.0017393620601922066
2017-12-31 20:55:00,13971.95,1,0.0,0,0,0.0,-13954.41,-139.0,13832.95,0.00126959677635341
2017-12-31 21:00:00,13931.35,1,0.0,0,0,0.0,-13954.41,-139.0,13792.35,-0.0016691506079080654
2017-12-31 21:05:00,13904.48,1,0.0,0,0,0.0,-13954.41,-139.0,13765.48,-0.003614080219117688
2017-12-31 21:10:00,13942.27,1,0.0,0,0,0.0,-13954.41,-139.0,13803.27,-0.0008787288976583874
2017-12-31 21:15:00,13950.0,1,0.0,0,0,0.0,-13954.41,-139.0,13811.0,-0.0003192087676008315
2017-12-31 21:20:00,13935.22,1,0.0,0,0,0.0,-13954.41,-139.0,13796.22,-0.0013890286281768027
2017-12-31 21:25:00,13920.03,1,0.0,0,0,0.0,-13954.41,-139.0,13781.03,-0.0024885254943572965
2017-12-31 21:30:00,13937.95,1,0.0,0,0,0.0,-13954.41,-139.0,13798.95,-0.0011914232006142722
2017-12-31 21:35:00,13915.34,1,0.0,0,0,0.0,-13954.41,-139.0,13776.34,-0.0028280014852979374
2017-12-31 21:40:00,13915.22,1,0.0,0,0,0.0,-13954.41,-139.0,13776.22,-0.0028366874381579033
2017-12-31 21:45:00,13929.12,1,0.0,0,0,0.0,-13954.41,-139.0,13790.12,-0.0018305645652209046
2017-12-31 21:50:00,13911.84,1,0.0,0,0,0.0,-13954.41,-139.0,13772.84,-0.003081341777044555
2017-12-31 21:55:00,13940.99,0,13940.99,-1,0,0.003021080653284436,-13.420000000000073,13801.99,13801.99,-0.0009713790614972462
2017-12-31 22:00:00,13997.99,1,-13997.99,1,0,0.0,-14011.41,-196.0,13801.99,-0.0009713790614972462
2017-12-31 22:05:00,13976.95,1,0.0,0,0,0.0,-14011.41,-196.0,13780.95,-0.0024943161295972738
2017-12-31 22:10:00,13911.0,0,13928.00005,0,-1,-0.005,-83.4099499999993,13732.00005,13732.00005,-0.006037457447878758
2017-12-31 22:15:00,13934.0,0,0.0,0,0,0.0,-83.4099499999993,13732.00005,13732.00005,-0.006037457447878758
2017-12-31 22:20:00,13901.37,0,0.0,0,0,0.0,-83.4099499999993,13732.00005,13732.00005,-0.006037457447878758
2017-12-31 22:25:00,13898.98,-1,13898.98,-1,0,0.0,13815.57005,27630.98005,13732.000049999999,-0.00603745744787898
2017-12-31 22:30:00,13963.98,-1,0.0,0,0,0.0,13815.57005,27630.98005,13667.000049999999,-0.010742348580317307
2017-12-31 22:35:00,13921.0,-1,0.0,0,0,0.0,13815.57005,27630.98005,13709.980049999998,-0.007631329797668118
2017-12-31 22:40:00,13899.93,-1,0.0,0,0,0.0,13815.57005,27630.98005,13731.050049999998,-0.006106221241353071
2017-12-31 22:45:00,13850.0,-1,0.0,0,0,0.0,13815.57005,27630.98005,13780.980049999998,-0.0024921410222353835
2017-12-31 22:50:00,13793.82,-1,0.0,0,0,0.0,13815.57005,27630.98005,13837.160049999999,0.0015743325750012804
2017-12-31 22:55:00,13820.5,-1,0.0,0,0,0.0,13815.57005,27630.98005,13810.480049999998,-0.00035684427751336845
2017-12-31 23:00:00,13759.43,-1,0.0,0,0,0.0,13815.57005,27630.98005,13871.550049999998,0.004063581898763546
2017-12-31 23:05:00,13763.85,-1,0.0,0,0,0.0,13815.57005,27630.98005,13867.130049999998,0.0037436493017577455
2017-12-31 23:10:00,13733.71,-1,0.0,0,0,0.0,13815.57005,27630.98005,13897.27005,0.005925271128399245
2017-12-31 23:15:00,13674.98,-1,0.0,0,0,0.0,13815.57005,27630.98005,13956.000049999999,0.010176321223908547
2017-12-31 23:20:00,13700.0,-1,0.0,0,0,0.0,13815.57005,27630.98005,13930.980049999998,0.00836530005262226
2017-12-31 23:25:00,13724.0,-1,0.0,0,0,0.0,13815.57005,27630.98005,13906.980049999998,0.0066281094806450724
2017-12-31 23:30:00,13799.97,-1,0.0,0,0,0.0,13815.57005,27630.98005,13831.010049999999,0.0011291774909321095
2017-12-31 23:35:00,13801.0,-1,0.0,0,0,0.0,13815.57005,27630.98005,13829.980049999998,0.0010546230622181518
2017-12-31 23:40:00,13755.27,-1,0.0,0,0,0.0,13815.57005,27630.98005,13875.710049999998,0.004364694931239699
2017-12-31 23:45:00,13745.0,-1,0.0,0,0,0.0,13815.57005,27630.98005,13885.980049999998,0.0051080677301649224
2017-12-31 23:50:00,13684.99,-1,0.0,0,0,0.0,13815.57005,27630.98005,13945.990049999999,0.009451767989512971
2017-12-31 23:55:00,13716.36,-1,0.0,0,0,0.0,13815.57005,27630.98005,13914.620049999998,0.007181115146057682
2018-01-01 00:00:00,13600.0,-1,0.0,0,0,0.0,13815.57005,27630.98005,14030.980049999998,0.01560359410252743
2018-01-01 00:05:00,13554.58,-1,0.0,0,0,0.0,13815.57005,27630.98005,14076.400049999998,0.01889122725999437
2018-01-01 00:10:00,13556.15,-1,0.0,0,0,0.0,13815.57005,27630.98005,14074.830049999999,0.018777586043410954
2018-01-01 00:15:00,13430.52,-1,0.0,0,0,0.0,13815.57005,27630.98005,14200.460049999998,0.027871054858306543
2018-01-01 00:20:00,13439.94,-1,0.0,0,0,0.0,13815.57005,27630.98005,14191.040049999998,0.027189207558805606
2018-01-01 00:25:00,13521.12,-1,0.0,0,0,0.0,13815.57005,27630.98005,14109.860049999997,0.021313160449092594
2018-01-01 00:30:00,13515.0,-1,0.0,0,0,0.0,13815.57005,27630.98005,14115.980049999998,0.021756144044946746
2018-01-01 00:35:00,13464.16,-1,0.0,0,0,0.0,13815.57005,27630.98005,14166.820049999998,0.025436092739918648
2018-01-01 00:40:00,13470.41,-1,0.0,0,0,0.0,13815.57005,27630.98005,14160.570049999998,0.02498369936179956
2018-01-01 00:45:00,13560.11,-1,0.0,0,0,0.0,13815.57005,27630.98005,14070.870049999998,0.018490949599034634
2018-01-01 00:50:00,13530.0,-1,0.0,0,0,0.0,13815.57005,27630.98005,14100.980049999998,0.020670399937461115
2018-01-01 00:55:00,13529.01,-1,0.0,0,0,0.0,13815.57005,27630.98005,14101.970049999998,0.020742059048554973
2018-01-01 01:00:00,13510.85,-1,0.0,0,0,0.0,13815.57005,27630.98005,14120.130049999998,0.022056533248017818
2018-01-01 01:05:00,13450.1,-1,0.0,0,0,0.0,13815.57005,27630.98005,14180.880049999998,0.026453796883335157
2018-01-01 01:10:00,13445.63,-1,0.0,0,0,0.0,13815.57005,27630.98005,14185.35005,0.026777348627366138
